trade_id,entry_timestamp,exit_timestamp,entry_zscore,entry_signal,entry_beta,entry_spread,direction,position_usdt,leg_a_usdt,leg_b_usdt,kelly_fraction,signal_strength,stop_zscore,target_zscore,min_hold_hours,exit_zscore,exit_reason,hours_held,partial_pnl_usdt,gross_pnl_pct,fee_cost_pct,net_pnl_pct,net_pnl_usdt,max_adverse_zscore,max_favorable_zscore,prediction_error_at_entry,beta_uncertainty_at_entry,is_winner
1,2022-11-15 17:00:00+00:00,2022-11-17 09:00:00+00:00,2.4116,-2.4116,0.6226,0.025997,SHORT_SPREAD,274.05,168.89,105.16,0.0455,NORMAL,3.9116,-0.2412,28.94,-0.3231,TARGET,40.0,6.22,0.031138,0.003,0.028138,13.93,-0.9316,2.4116,0.025997,0.002547,True
2,2022-11-22 13:00:00+00:00,2022-11-24 06:00:00+00:00,2.5294,-2.5294,0.6183,0.023976,SHORT_SPREAD,287.43,177.62,109.82,0.0455,NORMAL,4.0294,-0.2529,30.35,-0.4063,TARGET,41.0,5.58,0.029978,0.003,0.026978,13.33,-0.6559,2.7513,0.023976,0.003003,True
3,2022-11-25 02:00:00+00:00,2022-11-26 12:00:00+00:00,-2.1823,2.1823,0.6323,-0.023975,LONG_SPREAD,247.99,151.93,96.06,0.0455,NORMAL,3.6823,0.2182,26.19,0.3756,TARGET,34.0,3.42,0.026715,0.003,0.023715,9.3,1.6217,-2.1823,-0.023975,0.002792,True
4,2022-11-28 02:00:00+00:00,2022-11-30 00:00:00+00:00,-3.3407,3.3407,0.6425,-0.035599,LONG_SPREAD,379.63,231.12,148.51,0.0455,STRONG,4.8407,0.3341,40.09,1.4972,TARGET,46.0,9.67,0.050653,0.003,0.047653,27.76,1.5393,-3.3407,-0.035599,0.00289,True
5,2022-12-01 00:00:00+00:00,2022-12-03 06:00:00+00:00,2.0566,-2.0566,0.6429,0.018449,SHORT_SPREAD,233.71,142.25,91.46,0.0455,NORMAL,3.5566,-0.2057,24.68,-0.9095,TARGET,54.0,2.88,0.025269,0.003,0.022269,8.09,-0.9095,2.7535,0.018449,0.002835,True
6,2022-12-03 19:00:00+00:00,2022-12-05 00:00:00+00:00,2.176,-2.176,0.6651,0.017459,SHORT_SPREAD,247.27,148.5,98.77,0.0455,NORMAL,3.676,-0.2176,26.11,-0.4364,TARGET,29.0,3.6,0.020475,0.003,0.017475,7.92,-1.0434,2.176,0.017459,0.002969,True
7,2022-12-12 00:00:00+00:00,2022-12-12 02:00:00+00:00,-2.3479,2.3479,0.6675,-0.015661,LONG_SPREAD,533.62,320.01,213.61,0.0455,NORMAL,3.8479,0.2348,28.18,-4.0322,STOPLOSS,2.0,0.0,-0.012066,0.003,-0.015066,-8.04,-1.8495,-4.0322,-0.015661,0.003323,False
8,2022-12-12 03:00:00+00:00,2022-12-13 12:00:00+00:00,-2.7137,2.7137,0.6645,-0.018691,LONG_SPREAD,308.38,185.27,123.11,0.0455,NORMAL,4.2137,0.2714,32.56,1.4766,TARGET,33.0,5.57,0.030465,0.003,0.027465,14.04,3.2967,-2.7137,-0.018691,0.003341,True
9,2022-12-13 13:00:00+00:00,2022-12-16 04:00:00+00:00,5.0,-5.0,0.6791,0.057171,SHORT_SPREAD,454.55,270.71,183.84,0.0455,STRONG,5.0,-0.5,60.0,-0.8654,TARGET,63.0,22.52,0.065085,0.003,0.062085,50.74,-1.8077,5.0,0.057171,0.003382,True
10,2022-12-16 09:00:00+00:00,2022-12-17 10:00:00+00:00,-2.0001,2.0001,0.6833,-0.014587,LONG_SPREAD,227.28,135.02,92.26,0.0455,NORMAL,3.5001,0.2,24.0,0.4446,TARGET,25.0,1.96,0.018437,0.003,0.015437,5.47,0.4446,-3.1987,-0.014587,0.00346,True
