trade_id,entry_timestamp,exit_timestamp,entry_zscore,entry_signal,entry_beta,entry_spread,direction,position_usdt,leg_a_usdt,leg_b_usdt,kelly_fraction,signal_strength,stop_zscore,target_zscore,min_hold_hours,exit_zscore,exit_reason,hours_held,partial_pnl_usdt,gross_pnl_pct,fee_cost_pct,net_pnl_pct,net_pnl_usdt,max_adverse_zscore,max_favorable_zscore,prediction_error_at_entry,beta_uncertainty_at_entry,is_winner
1,2020-09-03 13:00:00+00:00,2020-09-03 15:00:00+00:00,2.0742,-2.0742,0.7764,0.054941,SHORT_SPREAD,1142.33,643.06,499.26,0.1377,NORMAL,3.5742,-0.2074,24.89,1.5031,TIMESTOP,2.0,0.0,0.013601,0.003,0.010601,12.11,1.5031,2.2437,0.054941,0.008708,True
2,2020-09-12 19:00:00+00:00,2020-09-12 21:00:00+00:00,2.1279,-2.1279,0.7882,0.053555,SHORT_SPREAD,1171.9,655.36,516.53,0.1377,NORMAL,3.6279,-0.2128,25.54,1.4303,TIMESTOP,2.0,0.0,0.017534,0.003,0.014534,17.03,1.0414,2.1279,0.053555,0.004016,True
3,2020-09-13 23:00:00+00:00,2020-09-14 01:00:00+00:00,2.2444,-2.2444,0.812,0.056464,SHORT_SPREAD,1236.04,682.15,553.89,0.1377,NORMAL,3.7444,-0.2244,26.93,1.6521,TIMESTOP,2.0,0.0,0.014659,0.003,0.011659,14.41,1.0204,2.2444,0.056464,0.004033,True
4,2020-09-24 19:00:00+00:00,2020-09-24 21:00:00+00:00,-2.4378,2.4378,0.7392,-0.048688,LONG_SPREAD,671.27,385.97,285.3,0.1377,NORMAL,3.9378,0.2438,29.25,-0.9452,TIMESTOP,2.0,18.89,0.029637,0.003,0.026637,36.77,-0.9452,-2.9018,-0.048688,0.003544,True
5,2020-09-28 10:00:00+00:00,2020-09-28 12:00:00+00:00,3.2441,-3.2441,0.6488,0.051441,SHORT_SPREAD,1786.58,1083.6,702.99,0.1377,STRONG,4.7441,-0.3244,38.93,1.3074,TIMESTOP,2.0,0.0,0.030171,0.003,0.027171,48.54,1.3074,3.2441,0.051441,0.002924,True
6,2020-09-29 00:00:00+00:00,2020-09-29 02:00:00+00:00,2.5001,-2.5001,0.6589,0.040441,SHORT_SPREAD,688.43,414.99,273.44,0.1377,NORMAL,4.0001,-0.25,30.0,0.5421,TIMESTOP,2.0,20.36,0.03108,0.003,0.02808,39.7,0.5421,2.5001,0.040441,0.002956,True
7,2020-10-06 14:00:00+00:00,2020-10-06 16:00:00+00:00,-2.4652,2.4652,0.6514,-0.032389,LONG_SPREAD,848.51,513.8,334.71,0.1377,NORMAL,3.9652,0.2465,29.58,-0.2383,TIMESTOP,2.0,32.94,0.02893,0.003,0.02593,54.94,0.6186,-2.4652,-0.032389,0.00323,True
8,2020-10-06 20:00:00+00:00,2020-10-06 22:00:00+00:00,-2.7428,2.7428,0.6526,-0.036321,LONG_SPREAD,1888.18,1142.54,745.64,0.1377,NORMAL,4.2428,0.2743,32.91,-1.7782,TIMESTOP,2.0,0.0,0.012285,0.003,0.009285,17.53,-1.7342,-2.7428,-0.036321,0.003265,True
9,2020-10-08 14:00:00+00:00,2020-10-08 16:00:00+00:00,2.222,-2.222,0.6654,0.027224,SHORT_SPREAD,764.82,459.24,305.57,0.1377,NORMAL,3.722,-0.2222,26.66,0.994,TIMESTOP,2.0,11.2,0.016146,0.003,0.013146,21.26,0.994,2.222,0.027224,0.003278,True
10,2020-10-12 21:00:00+00:00,2020-10-12 23:00:00+00:00,-2.1739,2.1739,0.6462,-0.026704,LONG_SPREAD,748.26,454.54,293.72,0.1377,NORMAL,3.6739,0.2174,26.09,-0.503,TIMESTOP,2.0,12.86,0.019855,0.003,0.016855,25.47,-0.503,-2.1739,-0.026704,0.002609,True
11,2020-10-20 06:00:00+00:00,2020-10-20 08:00:00+00:00,2.5454,-2.5454,0.6343,0.018761,SHORT_SPREAD,1752.29,1072.23,680.06,0.1377,NORMAL,4.0454,-0.2545,30.55,2.3195,TIMESTOP,2.0,0.0,0.001667,0.003,-0.001333,-2.34,1.2687,2.5454,0.018761,0.002885,False
12,2020-10-20 09:00:00+00:00,2020-10-20 11:00:00+00:00,3.6872,-3.6872,0.6373,0.028383,SHORT_SPREAD,2538.29,1550.24,988.04,0.1377,STRONG,5.0,-0.3687,44.25,1.9253,TIMESTOP,2.0,0.0,0.013983,0.003,0.010983,27.88,1.9253,3.6872,0.028383,0.002903,True
13,2020-10-22 16:00:00+00:00,2020-10-22 18:00:00+00:00,-2.8435,2.8435,0.6356,-0.024038,LONG_SPREAD,1957.49,1196.78,760.71,0.1377,NORMAL,4.3435,0.2844,34.12,-1.6645,TIMESTOP,2.0,0.0,0.009228,0.003,0.006228,12.19,-1.6645,-3.6619,-0.024038,0.002681,True
14,2020-10-22 20:00:00+00:00,2020-10-22 22:00:00+00:00,-2.0664,2.0664,0.6229,-0.018296,LONG_SPREAD,711.25,438.26,273.0,0.1377,NORMAL,3.5664,0.2066,24.8,-0.0076,TIMESTOP,2.0,5.95,0.016994,0.003,0.013994,15.9,-0.0076,-2.0664,-0.018296,0.002594,True
15,2020-10-23 09:00:00+00:00,2020-10-23 11:00:00+00:00,5.0,-5.0,0.6259,0.041429,SHORT_SPREAD,1376.81,846.79,530.03,0.1377,STRONG,5.0,-0.5,60.0,-0.1516,TIMESTOP,2.0,59.43,0.044666,0.003,0.041666,116.8,-0.1516,5.0,0.041429,0.002615,True
