pair_name,n_folds,n_folds_scored,oos_trades,oos_win_rate,oos_sharpe,oos_profit_factor,oos_max_drawdown,walk_forward_efficiency,passed
1INCH_USDT_FIDA_USDT,2,2,174,0.8736,8.9938,7.4561,-0.0175,1.2481,True
ARDR_USDT_PUNDIX_USDT,2,2,127,0.8031,2.9205,2.8895,-0.0323,0.498,False
AUDIO_USDT_C98_USDT,2,2,152,0.8355,5.4602,3.9437,-0.0206,1.2258,True
AVA_USDT_NEO_USDT,2,2,177,0.8136,2.7975,5.3582,-0.0202,0.4723,False
AVA_USDT_PHA_USDT,2,2,193,0.8342,3.7111,3.0015,-0.0507,0.5677,True
AVAX_USDT_ATOM_USDT,2,2,191,0.8586,10.3633,7.883,-0.0092,1.3988,True
BAND_USDT_C98_USDT,2,2,205,0.8878,8.9594,6.499,-0.013,1.4027,True
COMP_USDT_ARDR_USDT,2,2,181,0.8343,6.2265,3.8899,-0.0291,0.8201,True
COTI_USDT_ONG_USDT,2,2,161,0.8571,7.3126,5.2504,-0.02,1.0491,True
DEXE_USDT_ALGO_USDT,2,2,205,0.8341,10.3272,6.7467,-0.0112,1.2686,True
DIA_USDT_ARDR_USDT,2,2,148,0.8851,7.7767,10.2455,-0.0105,2.3517,True
DODO_USDT_FIDA_USDT,2,2,162,0.8704,4.9945,3.8398,-0.0367,0.7305,True
DOT_USDT_ARDR_USDT,2,2,189,0.7831,7.4016,4.2687,-0.0252,1.0562,True
DOT_USDT_LINK_USDT,2,2,182,0.8791,10.4685,8.6203,-0.0174,1.2494,True
FET_USDT_BCH_USDT,2,2,174,0.8793,10.3698,7.9065,-0.0161,1.5883,True
FET_USDT_DASH_USDT,2,2,205,0.8439,8.4279,5.6029,-0.025,0.9724,True
FIL_USDT_AVA_USDT,2,2,174,0.8448,7.7967,5.6911,-0.0326,1.1098,True
IOTA_USDT_ARDR_USDT,2,2,182,0.8352,9.2668,6.218,-0.0128,1.4004,True
LTC_USDT_ZEN_USDT,2,2,206,0.8544,8.2495,6.0286,-0.0183,1.2219,True
MASK_USDT_ALICE_USDT,2,2,159,0.805,4.5904,3.2848,-0.0303,0.9447,True
MASK_USDT_TLM_USDT,2,2,173,0.8382,4.272,3.4817,-0.0422,0.6655,True
MINA_USDT_C98_USDT,2,2,196,0.8724,8.0805,6.6646,-0.0101,1.0552,True
MINA_USDT_ONG_USDT,2,2,166,0.8313,7.5881,5.5491,-0.0091,0.9703,True
NEO_USDT_PUNDIX_USDT,2,2,180,0.85,7.7351,5.41,-0.0145,1.0926,True
ONG_USDT_MINA_USDT,2,2,159,0.8679,6.5136,5.676,-0.0118,1.0452,True
ONT_USDT_BAND_USDT,2,2,152,0.8487,5.4188,4.5596,-0.0248,0.9641,True
ONT_USDT_DODO_USDT,2,2,180,0.8778,6.8532,4.9195,-0.015,1.0218,True
ONT_USDT_PUNDIX_USDT,2,2,153,0.8366,4.992,4.3427,-0.0461,0.7904,True
ONT_USDT_RIF_USDT,2,2,191,0.8377,5.4111,3.9177,-0.0253,0.778,True
SOL_USDT_MASK_USDT,2,2,163,0.8773,9.9649,9.0762,-0.0082,1.3316,True
VET_USDT_ARDR_USDT,2,2,189,0.8836,9.1579,6.4912,-0.0149,1.3027,True
